county,subdivision,home_count,avg_year_built,min_year_built,max_year_built,avg_sqft,avg_floors,avg_value,avg_acres,cities,sample_addresses,elevation_range_m,avg_elevation_m,slope_score
Utah,Eagle Crest No 1 At Suncrest,255,2005.7,2003,2018,2152.8,1.7,730256.1,0.2,Draper,15119 S EAGLE CHASE DR; 15111 S EAGLE CHASE DR; 15107 S EAGLE CHASE DR,47.5,1855.7,379.4
Utah,3344,390,2008.4,2000,2020,2543.2,1.5,606599.7,0.1,"Alpine, American Fork, Lehi, Lindon, Mapleton, Orem, Payson, Pleasant Grove, Provo, Salem, Saratoga Springs, Spanish Fork, Springville",7944 N 9550 W; 79 W 900 N UNIT 1; 333 S MAIN UNIT 100,37.3,1397.0,321.3
Salt Lake,Parry Farms Ph 2,124,2011.2,2007,2020,2847.2,1.5,933221.9,0.4,Bluffdale,15036 S DESERT EAGLE CIR; 15056 S DESERT EAGLE CIR; 15088 S DESERT EAGLE CIR,29.8,1364.3,207.1
Utah,6453,368,2010.5,2000,2020,3859.0,1.0,705679.9,0.1,"American Fork, Eagle Mountain, Lehi, Lindon, Mapleton, Orem, Payson, Pleasant Grove, Provo, Spanish Fork, Springville, Vineyard",5132 N 300 W UNIT 5; 5132 N 300 W UNIT 5; 1112 E 1060 N,22.2,1395.6,189.0
Utah,Oak Vista #04 At Suncrest,121,2002.9,2001,2018,2325.5,1.7,772924.8,0.2,Draper,15156 S AMBER CREST LN; 15142 S AMBER CREST LN; 1593 E AMBER CREST LN,27.1,1906.1,187.6
Salt Lake,South Mtn Ph 3d,116,2001.8,2000,2008,2243.5,1.6,773738.8,0.2,Draper,13944 S STONE CANYON DR; 13973 S TIMBER RIDGE DR; 13967 S TIMBER RIDGE DR,24.4,1472.3,167.1
Utah,Lake Mountain Estates Plat I,120,2002.2,2000,2019,1240.4,1.3,469556.7,0.3,Saratoga Springs,361 W CASI WAY; 357 W CASI WAY; 4077 S LAKE MOUNTAIN DR,22.7,1434.3,156.5
Salt Lake,Kennecott Daybreak Pl 8,242,2011.0,2008,2018,2126.9,1.8,662748.3,0.1,South Jordan,10369 S LAC VIEUX RD; 10377 S LAC VIEUX RD; 10381 S LAC VIEUX RD,19.6,1450.8,155.4
Salt Lake,Kennecott Daybreak Ph 1 Amd,267,2004.7,2004,2011,2041.4,1.6,638550.6,0.2,South Jordan,4338 W OPEN CREST DR; 4324 W OPEN CREST DR; 4316 W OPEN CREST DR,18.6,1454.9,149.7
Salt Lake,Rosecrest Pl R,117,2009.2,2006,2019,2679.1,1.6,854814.5,0.3,Herriman,5384 W ROSE SUMMIT DR; 14794 S BRIAR PARK RD; 14784 S BRIAR PARK RD,20.8,1582.4,143.0
Salt Lake,Rosecrest Pl I,110,2003.0,2002,2005,1759.0,1.2,616485.5,0.2,Herriman,14377 S MURDOCH PEAK DR; 14387 S MURDOCH PEAK DR; 14397 S MURDOCH PEAK DR,19.4,1514.2,131.3
Salt Lake,Kennecott Daybreak Ph 2,164,2005.5,2005,2006,2088.8,1.7,626576.8,0.2,South Jordan,4663 W PALE MOON LN; 4657 W PALE MOON LN; 4651 W PALE MOON LN,17.4,1451.1,128.1
Salt Lake,Daybreak Village 8 Plat 3,252,2018.6,2018,2020,1677.1,2.1,512067.1,0.1,South Jordan,6238 W BIRCH RUN RD; 6242 W BIRCH RUN RD; 6244 W BIRCH RUN RD,14.5,1519.8,115.7
Salt Lake,South Hills Pod 2 Phase 1a,164,2018.7,2018,2020,1885.7,2.0,519617.7,0.1,Herriman,3384 W 15000 S; 14908 S BECKENBAUER AVE # 2264; 14912 S BECKENBAUER AVE # 2263,15.6,1448.8,114.9
Salt Lake,Kennecott Daybreak Pl 9,307,2011.2,2008,2018,1815.1,1.8,591426.1,0.1,South Jordan,10328 S CROW WING DR; 10336 S CROW WING DR; 10346 S CROW WING DR,12.2,1478.2,101.0
Salt Lake,Rosecrest Pl Q,154,2007.7,2006,2017,2518.2,1.8,733983.8,0.2,Herriman,14634 S DESERT SAGE DR; 14646 S DESERT SAGE DR; 14656 S DESERT SAGE DR,13.4,1554.7,97.4
Utah,Winter Haven Phase 1 Amd,119,2006.4,2006,2010,2232.3,2.0,552354.6,0.1,Lehi,2809 W PINE CONE LN; 2821 W PINE CONE LN; 2833 W PINE CONE LN,12.4,1484.9,85.2
Salt Lake,South Jordan High Pointe Ph 4 & 5 Pud,114,2013.5,2009,2019,2421.2,1.9,728128.1,0.2,South Jordan,10954 S KELSO DUNE DR; 10956 S KELSO DUNE DR; 10958 S KELSO DUNE DR,8.5,1433.8,58.2
Utah,"Maple Hollow 10, 11, & 13 At Suncrest",154,2007.9,2006,2020,2011.8,1.9,591316.9,0.1,Draper,16032 S BROOKINGS CT; 1934 E BROOKINGS DR; 1938 E BROOKINGS DR,7.9,1692.0,57.6
Salt Lake,Rosecrest Pl G,173,2002.5,2002,2004,1557.0,1.2,604688.4,0.2,Herriman,5196 W LEILA LN; 5186 W LEILA LN; 5174 W LEILA LN,7.2,1505.3,53.4
Salt Lake,Sunstone Vlge 1,206,2002.8,2001,2010,1659.9,1.1,628796.1,0.3,South Jordan,5717 W SUMMER STONE DR; 5701 W SUMMER STONE DR; 5687 W SUMMER STONE DR,6.9,1494.2,52.8
Salt Lake,Boulders At Rosecrest Pud,222,2006.0,2006,2006,1074.2,1.8,325562.6,0.0,Herriman,5128 W ROCK BUTTE RD; 5126 W ROCK BUTTE RD; 5122 W ROCK BUTTE RD,6.1,1533.3,47.8
Salt Lake,Sunset Hills Ph 1 Pud Amd,159,2011.4,2008,2015,1887.7,1.5,561989.9,0.1,West Valley City,6427 S FIRE SKY CT; 6429 S FIRE SKY CT; 6438 S FIRE SKY CT,6.5,1568.0,47.2
Utah,6386,475,2010.0,2000,2020,17920.6,1.1,6223182.3,4.7,"American Fork, Eagle Mountain, Highland, Lehi, Lindon, Mapleton, Orem, Payson, Pleasant Grove, Provo, Santaquin, Saratoga Springs, Spanish Fork, Springville",2400 N 1200 W; 2400 N 1200 W; 2400 N 1200 W,5.2,1401.6,46.5
